commit_hash,date,device,test_name,status,metric,unit,min_time,max_time,avg_time,median_time,run_count,attempted,all_runs
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_communities_response_time,passed,response_time,s,1.49,1.626,1.54,1.523,6,6,"1.626,1.49,1.529,1.56,1.518,1.516"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_settings_response_time,passed,response_time,s,0.955,1.015,0.989,0.991,6,6,"1.007,0.973,0.955,0.976,1.015,1.009"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_market_response_time,passed,response_time,s,1.017,1.071,1.04,1.038,6,6,"1.071,1.031,1.017,1.046,1.048,1.024"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_wallet_response_time,passed,response_time,s,1.011,1.03,1.017,1.015,6,6,"1.018,1.013,1.014,1.011,1.016,1.03"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_messages_response_time,passed,response_time,s,0.071,0.539,0.448,0.515,6,6,"0.071,0.513,0.533,0.517,0.512,0.539"
760417,2026-04-30T12:00:00,SM-A366B,test_android_wallet_response_time,passed,response_time,s,0.954,1.061,1.019,1.033,6,6,"1.061,1.04,1.036,0.992,0.954,1.03"
760417,2026-04-30T12:00:00,SM-A366B,test_android_market_response_time,passed,response_time,s,0.496,0.553,0.53,0.535,6,6,"0.531,0.518,0.543,0.553,0.496,0.539"
760417,2026-04-30T12:00:00,SM-A366B,test_android_messages_response_time,passed,response_time,s,0.082,0.556,0.451,0.524,6,6,"0.556,0.525,0.523,0.082,0.491,0.531"
760417,2026-04-30T12:00:00,SM-A366B,test_android_settings_response_time,passed,response_time,s,0.944,1.011,0.97,0.968,6,6,"0.969,0.966,0.969,0.961,0.944,1.011"
760417,2026-04-30T12:00:00,SM-A366B,test_android_communities_response_time,passed,response_time,s,1.392,1.476,1.433,1.423,6,6,"1.418,1.392,1.428,1.466,1.419,1.476"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_settings_password_response_time,passed,response_time,s,0.526,0.596,0.556,0.552,6,6,"0.526,0.541,0.596,0.569,0.54,0.563"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_settings_profile_response_time,passed,response_time,s,0.503,0.564,0.535,0.534,6,6,"0.503,0.544,0.532,0.531,0.564,0.537"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_settings_messaging_response_time,passed,response_time,s,0.512,0.591,0.543,0.54,6,6,"0.546,0.531,0.544,0.591,0.512,0.537"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_wallet_add_account_response_time,passed,response_time,s,0.494,0.575,0.536,0.534,6,6,"0.541,0.528,0.494,0.527,0.55,0.575"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_wallet_receive_response_time,passed,response_time,s,0.077,0.098,0.083,0.081,6,6,"0.08,0.077,0.084,0.078,0.098,0.082"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_wallet_send_response_time,passed,response_time,s,0.584,0.607,0.596,0.596,6,6,"0.607,0.602,0.589,0.584,0.604,0.59"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_wallet_swap_response_time,passed,response_time,s,0.575,0.631,0.609,0.611,6,6,"0.628,0.596,0.623,0.6,0.575,0.631"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_wallet_buy_response_time,passed,response_time,s,0.081,0.09,0.085,0.084,6,6,"0.082,0.084,0.084,0.09,0.09,0.081"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_wallet_account_open_response_time,passed,response_time,s,0.075,0.075,0.075,0.075,1,1,0.075
62fb83,2026-06-10T12:00:00,SM-A366B,test_android_wallet_response_time,passed,response_time,s,0.969,1.033,1.008,1.021,6,6,"0.98,1.026,1.033,1.021,1.021,0.969"
62fb83,2026-06-10T12:00:00,SM-A366B,test_android_messages_response_time,passed,response_time,s,0.065,0.547,0.368,0.502,6,6,"0.547,0.071,0.493,0.512,0.065,0.52"
62fb83,2026-06-10T12:00:00,SM-A366B,test_android_market_response_time,passed,response_time,s,1.013,1.058,1.036,1.034,6,6,"1.055,1.036,1.022,1.058,1.013,1.033"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_settings_ens_response_time,passed,response_time,s,0.514,0.58,0.55,0.556,6,6,"0.52,0.514,0.556,0.571,0.557,0.58"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_settings_appearance_response_time,passed,response_time,s,0.535,0.567,0.549,0.546,6,6,"0.544,0.567,0.549,0.536,0.566,0.535"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_settings_language_response_time,passed,response_time,s,0.527,0.54,0.531,0.529,6,6,"0.53,0.528,0.528,0.54,0.527,0.533"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_settings_notifications_response_time,passed,response_time,s,0.542,0.911,0.617,0.557,6,6,"0.551,0.583,0.561,0.911,0.553,0.542"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_settings_syncing_response_time,passed,response_time,s,0.509,0.586,0.537,0.527,6,6,"0.586,0.554,0.528,0.516,0.509,0.526"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_settings_browser_response_time,passed,response_time,s,0.512,0.557,0.543,0.548,6,6,"0.538,0.553,0.512,0.55,0.557,0.545"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_settings_advanced_response_time,passed,response_time,s,0.526,0.582,0.548,0.548,6,6,"0.554,0.541,0.582,0.526,0.529,0.558"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_settings_about_response_time,passed,response_time,s,0.526,0.566,0.547,0.546,6,6,"0.56,0.539,0.552,0.526,0.566,0.539"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_settings_communities_response_time,passed,response_time,s,0.479,0.538,0.509,0.506,6,6,"0.538,0.498,0.479,0.53,0.512,0.5"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_settings_keycard_response_time,passed,response_time,s,0.549,0.624,0.595,0.613,6,6,"0.549,0.61,0.615,0.618,0.556,0.624"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_settings_privacy_response_time,passed,response_time,s,0.517,0.546,0.531,0.53,6,6,"0.53,0.531,0.538,0.525,0.546,0.517"
8e3dee,2026-06-08T12:00:00,SM-A366B,test_android_settings_backup_response_time,passed,response_time,s,0.531,0.562,0.547,0.548,6,6,"0.556,0.549,0.547,0.531,0.537,0.562"
62fb83,2026-06-10T12:00:00,SM-A366B,test_android_settings_password_response_time,passed,response_time,s,0.514,0.564,0.539,0.536,6,6,"0.536,0.53,0.555,0.514,0.535,0.564"
62fb83,2026-06-10T12:00:00,SM-A366B,test_android_settings_profile_response_time,passed,response_time,s,0.511,0.546,0.528,0.53,6,6,"0.532,0.511,0.528,0.546,0.534,0.519"
62fb83,2026-06-10T12:00:00,SM-A366B,test_android_settings_messaging_response_time,passed,response_time,s,0.493,0.538,0.521,0.525,6,6,"0.525,0.525,0.493,0.535,0.511,0.538"
62fb83,2026-06-10T12:00:00,SM-A366B,test_android_settings_ens_response_time,passed,response_time,s,0.569,0.6,0.584,0.581,6,6,"0.581,0.594,0.578,0.581,0.6,0.569"
62fb83,2026-06-10T12:00:00,SM-A366B,test_android_settings_appearance_response_time,passed,response_time,s,0.538,0.828,0.596,0.55,6,6,"0.565,0.828,0.538,0.552,0.549,0.546"
62fb83,2026-06-10T12:00:00,SM-A366B,test_android_settings_language_response_time,passed,response_time,s,0.518,0.572,0.542,0.538,6,6,"0.554,0.531,0.54,0.572,0.537,0.518"
62fb83,2026-06-10T12:00:00,SM-A366B,test_android_settings_notifications_response_time,passed,response_time,s,0.525,0.78,0.579,0.544,6,6,"0.78,0.525,0.547,0.532,0.54,0.549"
62fb83,2026-06-10T12:00:00,SM-A366B,test_android_settings_syncing_response_time,passed,response_time,s,0.517,0.574,0.54,0.529,6,6,"0.528,0.517,0.53,0.574,0.562,0.528"
