commit_hash,device,android,sdk,oneui,sem,security_patch,build_incremental,fingerprint
ff50da,SM-A366B,16,36,80500,3602,2026-05-05,A366BXXSACZE3,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZE3_OXMACZE3:user/release-keys
5b1794,SM-A366B,16,36,80500,3602,2026-05-05,A366BXXSACZE3,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZE3_OXMACZE3:user/release-keys
962c77,SM-A366B,16,36,80500,3602,2026-05-05,A366BXXSACZE3,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZE3_OXMACZE3:user/release-keys
c32b3c,SM-A366B,16,36,80500,3602,2026-05-05,A366BXXSACZE3,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZE3_OXMACZE3:user/release-keys
f016ed,SM-A366B,16,36,80500,3602,2026-05-05,A366BXXSACZE3,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZE3_OXMACZE3:user/release-keys
4283ab,SM-A366B,16,36,80500,3602,2026-05-05,A366BXXSACZE3,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZE3_OXMACZE3:user/release-keys
50e9b6,SM-A366B,16,36,80500,3602,2026-05-05,A366BXXSACZE3,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZE3_OXMACZE3:user/release-keys
06cc48,SM-A366B,16,36,80500,3602,2026-05-05,A366BXXSACZE3,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZE3_OXMACZE3:user/release-keys
6efd31,SM-A366B,16,36,80500,3602,2026-05-05,A366BXXSACZE3,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZE3_OXMACZE3:user/release-keys
760417N,SM-A366B,16,36,80500,3602,2026-05-05,A366BXXSACZE3,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZE3_OXMACZE3:user/release-keys
5f66deN,SM-A366B,16,36,80500,3602,2026-05-05,A366BXXSACZE3,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZE3_OXMACZE3:user/release-keys
e3c5d0,SM-A366B,16,36,80500,3602,2026-05-05,A366BXXSACZE3,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZE3_OXMACZE3:user/release-keys
cc48c9,SM-A366B,16,36,80500,3602,2026-05-05,A366BXXSACZE3,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZE3_OXMACZE3:user/release-keys
c4ce44,SM-A366B,16,36,80500,3602,2026-05-05,A366BXXSACZE3,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZE3_OXMACZE3:user/release-keys
7e38d3,SM-A366B,16,36,80500,3602,2026-05-05,A366BXXSACZE3,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZE3_OXMACZE3:user/release-keys
2959dc,SM-A366B,16,36,80500,3602,2026-05-05,A366BXXSACZE3,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZE3_OXMACZE3:user/release-keys
df1dfc,SM-A366B,16,36,80500,3602,2026-05-05,A366BXXSACZE3,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZE3_OXMACZE3:user/release-keys
da0988,SM-A366B,16,36,80500,3602,2026-05-05,A366BXXSACZE3,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZE3_OXMACZE3:user/release-keys
d39309,SM-A366B,16,36,80500,3602,2026-05-05,A366BXXSACZE3,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZE3_OXMACZE3:user/release-keys
51f253,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
80e7c0,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
80e7c0,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
80e7c0-n260711,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
80e7c0-n260712,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
80e7c0-n260713,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
69f333,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
69f333-n260714,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
4c6eaf,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
4c6eaf-n260715,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
e2ca9c,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
e2ca9c-n260716,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
5dae9b,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
5dae9b-n260717,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
e05886-n260718,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
e05886-n260719,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
e05886,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
e05886-n260720,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
384d3f,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
384d3f-n260721,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
abe104,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
abe104-n260722,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
a6db0b,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
a6db0b-n260723,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
0c1c2b,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
0c1c2b-n260724,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
805384-n260725,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
805384-n260726,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
805384,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
cf137a,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
8b23a3,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
cd4b4e,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
cd4b4e-n260730,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
7f355b,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
bcb30b-n260801,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
bcb30b-n260802,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
bcb30b,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
3ef171,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
95c3d3,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
549dc1,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
3ef171,25028RN03Y,15,35,,,2025-07-01,A15.0.8.0.VGWEUXM,Redmi/serenity_eea/serenity:15/AP3A.240905.015.A2/A15.0.8.0.VGWEUXM:user/release-keys
403e64,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
95c3d3,25028RN03Y,15,35,,,2025-07-01,A15.0.8.0.VGWEUXM,Redmi/serenity_eea/serenity:15/AP3A.240905.015.A2/A15.0.8.0.VGWEUXM:user/release-keys
fd90ae,25028RN03Y,15,35,,,2025-07-01,A15.0.8.0.VGWEUXM,Redmi/serenity_eea/serenity:15/AP3A.240905.015.A2/A15.0.8.0.VGWEUXM:user/release-keys
dde79a,25028RN03Y,15,35,,,2025-07-01,A15.0.8.0.VGWEUXM,Redmi/serenity_eea/serenity:15/AP3A.240905.015.A2/A15.0.8.0.VGWEUXM:user/release-keys
f3ced3,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
550468,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
550468,25028RN03Y,15,35,,,2025-07-01,A15.0.8.0.VGWEUXM,Redmi/serenity_eea/serenity:15/AP3A.240905.015.A2/A15.0.8.0.VGWEUXM:user/release-keys
e285fd,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
f0ca5f,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
69fe4b,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
7f5842,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
8fddc0,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
09c9ca,25028RN03Y,15,35,,,2025-07-01,A15.0.8.0.VGWEUXM,Redmi/serenity_eea/serenity:15/AP3A.240905.015.A2/A15.0.8.0.VGWEUXM:user/release-keys
6ab27d,25028RN03Y,15,35,,,2025-07-01,A15.0.8.0.VGWEUXM,Redmi/serenity_eea/serenity:15/AP3A.240905.015.A2/A15.0.8.0.VGWEUXM:user/release-keys
09c9ca,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
