commit_hash,date,total_tests,passed,failed,broken,skipped,unknown,pass_rate,total_duration_ms,avg_duration_ms,min_duration_ms,max_duration_ms,total_retries,flaky_tests
26cda1d72,2025-12-22T15:51:54,3,2,0,1,0,0,66.67,44951,14983.67,6450,28922,1,0
26cda1d72,2025-12-22T16:46:32,66,48,2,4,12,0,72.73,2006111,30395.62,0,177203,5,0
356b25fd1,2025-12-31T08:56:31,108,4,0,92,12,0,3.7,1104951,10231.03,0,61567,46,0
241848792,2026-01-07T13:50:40,108,4,0,92,12,0,3.7,1114871,10322.88,0,64876,46,0
f935e2514,2026-01-08T05:02:18,108,4,0,92,12,0,3.7,1039490,9624.91,0,59143,46,0
542685776,2026-01-09T05:03:34,108,4,0,92,12,0,3.7,1010710,9358.43,0,61646,46,0
fdf2e3f47,2026-01-10T05:05:45,108,4,0,92,12,0,3.7,1158851,10730.1,0,84517,46,0
048040588,2026-01-11T05:04:23,108,4,0,92,12,0,3.7,1126885,10434.12,0,65243,46,0
048040588,2026-01-12T05:07:14,108,4,0,92,12,0,3.7,1180499,10930.55,0,100611,46,0
c4e4e1511,2026-01-13T05:07:14,108,4,0,92,12,0,3.7,1125352,10419.93,0,68607,46,0
3c1356a8c,2026-01-14T05:06:39,108,4,0,92,12,0,3.7,1166856,10804.22,0,81281,46,0
3b5054d46,2026-01-15T05:05:09,108,4,0,92,12,0,3.7,1103801,10220.38,0,63299,46,0
7642d2335,2026-01-16T05:15:38,69,48,2,7,12,0,69.57,2453454,35557.3,0,215228,7,0
8f5046f70,2026-01-17T05:14:18,71,50,0,9,12,0,70.42,2423906,34139.52,0,223792,9,0
8f5046f70,2026-01-18T04:51:44,9,6,0,1,2,0,66.67,360704,40078.22,0,163639,1,0
8f5046f70,2026-01-19T05:12:28,66,49,0,5,12,0,74.24,2290233,34700.5,0,221491,4,0
aea1a9ba2,2026-01-19T12:50:30,63,50,0,1,12,0,79.37,2265364,35958.16,0,209068,1,0
aea1a9ba2,2026-01-20T05:10:48,64,49,0,3,12,0,76.56,2218293,34660.83,0,207381,2,0
f3b5c4e05,2026-01-21T11:28:09,63,50,0,1,12,0,79.37,2272885,36077.54,0,215518,1,0
a13b5e9f9,2026-01-22T05:13:17,66,49,1,4,12,0,74.24,2392925,36256.44,0,207878,4,0
0e9f9a533,2026-01-23T05:14:24,64,50,1,1,12,0,78.12,2466542,38539.72,0,229980,2,0
d98126cd1,2026-01-23T09:57:37,65,50,0,3,12,0,76.92,2257643,34732.97,0,211099,3,0
ff342a10b,2026-01-24T05:13:34,65,50,0,3,12,0,76.92,2336472,35945.72,0,225743,3,0
ff342a10b,2026-01-25T05:12:47,65,50,0,3,12,0,76.92,2266187,34864.42,0,214010,3,0
ff342a10b,2026-01-26T05:13:56,66,48,0,6,12,0,72.73,2392930,36256.52,0,219070,4,0
ff342a10b,2026-01-26T08:41:52,64,50,0,2,12,0,78.12,2267588,35431.06,0,217417,2,0
02ea15278,2026-01-27T05:15:51,65,49,1,3,12,0,75.38,2462933,37891.28,0,240309,3,0
8945f173a,2026-01-29T11:41:40,43,38,0,2,3,0,88.37,2075170,48259.77,0,239240,2,0
8945f173a,2026-01-29T13:26:35,67,50,0,5,12,0,74.63,2375685,35457.99,0,207332,4,0
926f390dc,2026-01-30T05:25:36,73,48,5,8,12,0,65.75,2875649,39392.45,0,220367,10,0
239fc4e1b,2026-01-31T05:19:53,69,50,1,6,12,0,72.46,2519294,36511.51,0,218593,6,0
239fc4e1b,2026-02-01T05:13:45,65,51,0,2,12,0,78.46,2203028,33892.74,0,203478,2,0
9381d0d06,2026-02-02T05:12:29,66,50,0,4,12,0,75.76,2124716,32192.67,0,203459,3,0
09b6b5546,2026-02-03T05:18:15,67,50,2,3,12,0,74.63,2464400,36782.09,0,197176,4,0
814c570f1,2026-02-04T05:15:35,66,51,1,2,12,0,77.27,2342448,35491.64,0,210238,3,0
814c570f1,2026-02-05T05:18:07,68,51,0,5,12,0,75.0,2483448,36521.29,0,218711,5,0
fd333ea9f,2026-02-05T16:06:26,66,48,2,4,12,0,72.73,2325398,35233.3,0,201586,3,0
ab48e3420,2026-02-06T05:16:20,69,49,4,4,12,0,71.01,2369696,34343.42,0,207991,6,0
7bfa94ad3,2026-02-06T08:25:45,67,50,2,3,12,0,74.63,2339236,34913.97,0,213875,4,0
1feb533b1,2026-02-07T05:16:40,67,49,2,4,12,0,73.13,2377490,35484.93,0,209426,4,0
1feb533b1,2026-02-08T05:13:06,66,51,0,3,12,0,77.27,2207890,33452.88,0,219292,3,0
6d173bfdf,2026-02-09T05:14:59,66,51,0,3,12,0,77.27,2270194,34396.88,0,205617,3,0
